,title,total_votes,mean_vote
33563,Mindkiller,174,4.2
33564,Miss Monday,186,6.9
33565,I Muppets venuti dallo spazio,17739,6.4
33566,Nikaah,235,6.9
33567,Once We Were Strangers,227,6.9
33568,Pati Patni Aur Woh,417,7.2
33569,Por si no te vuelvo a ver,145,7.4
33570,På fremmed mark,178,5.9
33571,Under overfladen,109,4.5
33572,Patto con la morte,264,6.3
33573,"South Park - Il film: Più grosso, più lungo & tutto intero",189862,7.8
33574,The Modern Adventures of Tom Sawyer,100,5.7
33575,Topaze,102,7.3
33576,Tyrone,216,3.7
33577,Vilko dantu karoliai,122,7.4
33578,Il giardino delle vergini suicide,141463,7.3
33579,Out of the Cold,236,5.8
33580,La città d'oro,239,4.6
33581,Abilene,153,7.1
33582,On na ma dak lin na,389,6.9
33583,The Auteur Theory,246,5.1
33584,Beach Movie,353,3.5
33585,Beautiful People,2369,6.9
33586,Behind Enemy Lines - Dietro le linee nemiche,97575,6.5
33587,Bellyfruit,101,6.1
33588,Bluebird,535,7.8
33589,Clutch,142,6.0
33590,Ritorno a Cold Mountain,138013,7.3
33591,Cotton Mary,474,5.3
33592,The Criminal,343,6.1
33593,Il colpo: Analisi di una rapina,17964,7.3
33594,Civility,137,4.1
33595,The Debt Collector,1001,6.8
33596,Depraved,179,3.9
33597,Un dulce olor a muerte,133,6.0
33598,Le avventure di Elmo in Brontolandia,2878,6.1
33599,Expect the unexpected,863,7.3
33600,Five Star Stories,270,6.6
33601,Rischioso inganno,297,6.0
33602,Geschwister - Kardesler,110,6.5
33603,Pau mui,165,5.0
33604,Häjyt,4665,7.3
33605,The Kid,170,6.4
33606,Mobile Suit Gundam 0083: L'Ultima Scintilla di Zeon,338,7.3
33607,Mobile Suit Gundam I,1065,7.7
33608,Mobile Suit Gundam II: Soldati del dolore,797,7.6
33609,Mobile Suit Gundam III: Incontro nello spazio,820,7.9
33610,Bruce Lee - La sua vita la sua leggenda,110,6.0
33611,Macbeth in Manhattan,107,5.9
33612,Mobile Suit Gundam F91,681,6.9
33613,Niskavuori,146,6.2
33614,The Delivery,679,5.3
33615,Le nuove comiche,591,4.9
33616,Razor Blade Smile,1479,5.1
33617,Relax... It's Just Sex,1498,7.1
33618,Rikos & rakkaus,418,6.4
33619,Una moglie ideale,2531,5.4
33620,Shepherd,421,3.3
33621,Spark,217,5.8
33622,Takedown,6551,6.5
33623,Top of the Food Chain,913,6.6
33624,Julio y su ángel,108,4.1
33625,Alice in Acidland,530,4.1
33626,Professione killer,1280,6.3
33627,L'arte della guerra,28367,5.7
33628,Asunder,396,5.9
33629,Le bal masqué,173,5.6
33630,I carabbinieri,117,5.6
33631,Charlie's Angels,173640,5.7
33632,Cirano di Bergerac,278,7.1
33633,Troppo pazze... poco serie,331,4.9
33634,D-Tox,23989,5.4
33635,A Dog of Flanders,864,6.5
33636,Dreamers,125,6.7
33637,Dudley Do-Right,9536,4.2
33638,Emmanuelle 7,337,4.2
33639,The Unscarred,144,6.4
33640,Final Solution,151,7.7
33641,Fish Out of Water,103,4.8
33642,For Which He Stands,116,6.2
33643,Four Dogs Playing Poker,1259,5.7
33644,Trippin',1156,5.6
33645,Gorod masterov,173,7.4
33646,Gràcies per la propina,125,7.1
33647,Guilt Is My Shadow,108,6.0
33648,Guinevere,2372,6.2
33649,A Gun for Jennifer,335,6.1
33650,Hot Wax Zombies on Wheels,319,5.6
33651,An Ideal Husband,150,6.4
33652,Impostor,22363,6.3
33653,In Too Deep,5739,6.4
33654,The Independent,1090,6.0
33655,Love Happens,121,6.1
33656,Il re ed io,3630,4.5
33657,Housebound,188,4.6
33658,Kurenai no nagareboshi,127,7.0
33659,La stagione del sole,1714,7.4
33660,The Last Great Ride,168,5.1
33661,Scegli il male minore,668,6.9
33662,The Long Road Home,154,6.4
33663,Lost Souls - La profezia,10316,5.0
33664,Luckytown,901,4.9
33665,Luminarias,547,4.8
33666,La storia di Agnes Browne,2001,6.7
33667,La mappa del mondo,4008,6.7
33668,Me and Will,420,6.1
33669,Milk,159,6.2
33670,Minato no nihonmusume,533,7.1
33671,Una valigia a 4 zampe,381,5.2
33672,Moskva,330,6.7
33673,Nadia e il mistero di Fuzzy,138,4.6
33674,Nice Guys Sleep Alone,504,6.5
33675,Noose for a Lady,150,6.2
33676,With or Without You - Con te o senza di te,780,6.3
33677,Un perfetto criminale,13233,6.5
33678,Other Voices,256,6.2
33679,Oxygen,4259,6.3
33680,Passion of Mind,3127,5.9
33681,The Perfect Tenant,294,5.0
33682,Blast,233,6.2
33683,Joe the King,2572,6.9
33684,The Prodigy,870,6.4
33685,Punks,232,7.3
33686,Red Dirt,924,6.5
33687,Respirar (Debaixo D'água),142,6.8
33688,Regole d'onore,43780,6.4
33689,Il momento sbagliato,169,6.2
33690,Rusalochka,491,7.3
33691,Sangue alla testa,160,6.6
33692,Kiss Me,82824,6.1
33693,Spooky House,395,6.4
33694,Storia di noi due,21313,6.1
33695,La domenica non si spara,109,6.8
33696,Tarantulas and Other Conveniences,1115,8.6
33697,Time at the Top,552,6.5
33698,Tonari no Yae-chan,192,7.2
33699,Train Ride,233,8.2
33700,The Trench,2496,6.2
33701,L'uomo a tre ruote,201,5.6
33702,In cerca d'amore,3211,6.8
33703,Doppio rischio,484,4.2
33704,Johtaja Uuno Turhapuro - pisnismies,715,5.1
33705,La vida según Muriel,222,6.9
33706,Le verità nascoste,116054,6.7
33707,Lo scroccone e il ladro,14842,5.6
33708,A tutti i costi,347,4.6
33709,White Boy,283,4.8
33710,The Wood,8240,7.3
33711,The Young Girl and the Monsoon,139,5.9
33712,Ôdîn - Kôshi hobune stâraito,149,5.6
33713,¡A volar joven!,290,7.5
33714,Steal This Movie,2179,6.6
33715,Advice from a Caterpillar,321,5.6
33716,Angel Express,109,5.6
33717,Bleeder,6791,6.8
33718,La casa stregata,659,6.2
33719,Club Wild Side,218,6.0
33720,Conserje en condominio,203,6.6
33721,Con l'acqua alla gola,258,5.4
33722,The Dentist 2,3303,4.7
33723,Un día con el diablo,214,7.4
33724,Max,160,4.2
33725,Der Einstein des Sex,628,5.3
33726,Fantom Morrisvillu,336,7.5
33727,El gendarme desconocido,247,7.5
33728,Get Yourself a College Girl,357,5.3
33729,Jinzô ningen Hakaidâ,274,6.3
33730,Je pense à vous,111,5.9
33731,The Last Big Thing,372,7.4
33732,Jack lo Squartatore,195,5.0
33733,El mago,150,7.1
33734,El ministro y yo,232,6.8
33735,Mutilations,138,5.3
33736,My Sweet Killer,306,6.2
33737,Natura contro,722,4.2
33738,Nowhere in Africa,12257,7.7
33739,El profe,453,7.0
33740,Pünktchen und Anton,888,7.3
33741,Revelation,873,5.7
33742,El señor fotógrafo,261,7.3
33743,Si yo fuera diputado,327,7.4
33744,Simon Magus,499,7.2
33745,Sureiyâzu gurêto,382,7.2
33746,Sureiyâzu return,410,7.2
33747,Sureiyâzu,778,7.2
33748,Stardust,155,4.6
33749,El supersabio,200,7.1
33750,Cantinflas e i tre moschettieri,200,6.7
33751,Tuvalu,2540,7.6
33752,Two Ninas,980,6.7
33753,L'ultima neve di primavera,192,7.0
33754,Unseen Evil,261,4.1
33755,Elfy Elf - Chi trova un amico trova un tesoro,562,2.6
33756,Giorno per giorno,164,5.8
33757,Zlote runo,100,5.4
33758,Apontes,659,7.9
33759,Breeders,989,3.2
33760,Cast Away,510788,7.8
33761,Just Looking,1400,6.9
33762,Chiedi perdono a Dio... non a me,133,6.4
33763,Come the Morning,110,6.6
33764,Escape from Wildcat Canyon,331,6.1
33765,La Macchina del Sesso,216,3.8
33766,Ghost World,111652,7.5
33767,Goat on Fire and Smiling Fish,2664,8.1
33768,"Happy, Texas",9471,6.5
33769,Kesher Ir,141,6.9
33770,Kurz und schmerzlos,4058,7.5
33771,Mr. & Mrs. Khiladi,5799,7.6
33772,O orgasmos tis ageladas,339,4.9
33773,Le poulpe,622,6.9
33774,Perché no?,786,6.9
33775,Rukajärven tie,4014,7.0
33776,Sapore di mare 2 - Un anno dopo,297,5.4
33777,Shaft,72469,6.0
33778,Il mistero di Sleepy Hollow,323190,7.5
33779,A Slipping-Down Life,1012,6.5
33780,Summer of Sam - Panico a New York,35665,6.6
33781,The Tribe,539,6.4
33782,Trick,8095,7.5
33783,Trixie,1477,5.2
33784,The White River Kid,1108,4.9
33785,Twin Falls Idaho,3669,7.4
33786,Three Days of Rain,245,6.3
33787,American Raspberry,349,5.4
33788,L'imperatore e l'assassino,5866,7.4
33789,"Sat sat yan, tiu tiu mo",304,6.1
33790,Los años bárbaros,503,6.8
33791,Barn of the Blood Llama,111,4.0
33792,Kasbah,159,5.9
33793,Catfish in Black Bean Sauce,441,6.8
33794,The Census Taker,166,5.9
33795,Ha-Chaverim Shel Yana,524,7.4
33796,Counterspy,104,5.2
33797,Dangerous Invitation,182,5.4
33798,The Defilers,343,5.8
33799,Die Hard Dracula,3201,3.2
33800,A zöld sárkány gyermekei,128,7.1
33801,Profondi abbracci,502,3.7
33802,The Funeral,1879,6.3
33803,Vite nascoste,12219,7.9
33804,Avviso di chiamata,11693,4.9
33805,Bloodsuckers,228,2.6
33806,Captain Jack,294,6.2
33807,Jacob Two Two Meets the Hooded Fang,297,5.0
33808,Je treba zabít Sekala,890,7.7
33809,Jurassic Park III,290954,6.0
33810,Kandagawa Wars,175,5.3
33811,Oltre ogni limite,319,5.4
33812,Il budino magico,423,6.1
33813,Mama,381,6.8
33814,Medousa,154,6.2
33815,Mors hus,136,5.3
33816,Murder à la Mod,721,5.7
33817,The Operator,329,5.6
33818,La parenthèse enchantée,325,6.2
33819,Perlur og svín,139,6.6
33820,Polk County Pot Plane,150,3.9
33821,Quasimodo d'El Paris,788,5.5
33822,Radiance,308,7.1
33823,Redball,153,5.7
33824,Rembrandt,333,6.4
33825,Rosie,531,7.5
33826,"Se scappi, ti sposo",91175,5.7
33827,Skippy,162,3.0
33828,Skraphandlerne,101,6.3
33829,T-Bird Gang,160,4.7
33830,A casa da sola,428,5.5
33831,Il tenente dei carabinieri,133,5.8
33832,Vicious Lips,1404,6.6
33833,Space Adventure Cobra,1718,7.5
33834,Young and Dangerous 5,589,6.3
33835,Az alkimista és a szüz,104,6.6
33836,L'assalto,160,3.9
33837,Avoir 20 ans dans les Aurès,178,7.3
33838,The Book of Stars,570,7.4
33839,Bullet Ballet,2246,7.1
33840,Chill Factor - Pericolo imminente,9149,5.3
33841,Chiu si hung yiu oi,182,6.8
33842,Chungyo,129,6.5
33843,Dark Water,193,5.7
33844,O asymvivastos,275,7.0
33845,Faust,585,7.5
33846,Final Appointment,115,6.2
33847,American Pie - Il primo assaggio non si scorda mai,370091,7.1
33848,Guy de Maupassant,113,5.8
33849,Perversioni di lusso,4231,5.0
33850,Litan,310,6.3
33851,Il Debutto,613,7.1
33852,Net Worth,222,6.6
33853,Egy tél az Isten háta mögött,129,6.0
33854,Kiryûin Hanako no shôgai,397,6.9
33855,Prostatis oikogeneias,230,5.4
33856,Questa è la vita,110,6.6
33857,A Woman After a Killer Butterfly,138,6.2
33858,Contract Killer,4781,6.3
33859,Ena gelasto apogevma,168,6.6
33860,T-Rex: Back to the Cretaceous,697,4.8
33861,Valerie Flake,203,6.3
33862,The Beach,219346,6.7
33863,La mossa del diavolo,13737,5.3
33864,"Blood, Guts, Bullets and Octane",1035,5.7
33865,Botan-dorô,137,7.1
33866,Al di là della vita,62557,6.9
33867,Die Brut des Bösen,291,4.2
33868,City of Ghosts,4947,6.1
33869,Come un pesce fuor d'acqua,494,5.9
33870,Tuono nel deserto,342,4.2
33871,Dirt Merchant,235,5.0
33872,Eleftherios Venizelos: 1910-1927,163,6.5
33873,Fag Hag,166,4.5
33874,La notte dei sensi,591,4.0
33875,L'uomo senza ombra,121916,5.8
33876,Khochu v tyurmu,348,6.4
33877,Ola einai dromos,1904,8.0
33878,Limbo,5703,7.1
33879,Mathe paidi mou grammata,888,8.3
33880,La dea del successo,10325,5.7
33881,Drive Me Crazy,17871,6.1
33882,The Psychotronic Man,337,3.2
33883,Echi mortali,73427,7.1
33884,Al vertice della tensione,101506,6.5
33885,Big Monster on Campus,559,5.3
33886,"Tochka, tochka, zapyataya...",102,7.3
33887,Under Suspicion,22055,6.6
33888,Virtual Sexuality,2772,5.5
33889,Across the Line,239,6.1
33890,Nella morsa del ragno,74947,6.4
33891,American Kickboxer 2,264,3.7
33892,Ansatsu,781,7.2
33893,Il colore della menzogna,1947,6.8
33894,Berserker,545,4.5
33895,Yôkai daisensô,366,6.5
33896,Another meltdown,507,5.8
33897,L'inferno nella mano,111,5.7
33898,Qi er da xia,125,6.3
33899,Casatorie cu repetitie,265,7.6
33900,Da grande,918,6.5
33901,Dang kou tan,181,6.2
33902,Dil Se..,26230,8.2
33903,La belva dalla calda pelle,274,4.2
33904,Effetto virus,396,4.2
33905,Campane a morto per la vendetta di Chang Fu,222,6.8
33906,Duplicate,6863,6.3
33907,"Go-Get-'Em, Haines",121,5.7
33908,Bodigaado Kiba,390,5.3
33909,Kumokiri Nizaemon,303,6.9
33910,Kærlighed ved første hik,2453,6.3
33911,The Last Yellow,191,6.0
33912,Dal Giappone con furore,245,6.0
33913,Segreto militare,440,3.9
33914,Pictures of Baby Jane Doe,279,5.5
33915,Un sogno impossibile,963,6.3
33916,Zattera della Medusa,216,7.5
33917,Sex et perestroïka,131,4.7
33918,"Sexo, pudor y lágrimas",2390,6.9
33919,Sha chu chong wei,140,4.4
33920,Shinobi no mono,763,7.6
33921,L'amore di una madre,166,5.4
33922,Stuart Little - Un topolino in gamba,123508,6.0
33923,Spriggan,3484,6.6
33924,Vidocq,20893,6.6
33925,Xie ying wu,157,6.3
33926,Zatôichi abare-himatsuri,1121,7.5
33927,Zatôichi kenka-daiko,950,7.4
33928,Zatôichi sekisho yaburi,1121,7.3
33929,Zona J,909,6.6
33930,After Life,9844,7.8
33931,The Secret Life of Girls,373,6.0
33932,Back to Even,136,4.4
33933,Big City Blues,260,3.8
33934,Bonsoir,306,7.2
33935,Molokai: The Story of Father Damien,1168,7.1
33936,Death Promise,313,5.2
33937,Sanada Yukimura no bouryaku,114,7.1
33938,Devil Dynamite,156,4.6
33939,Diamond Ninja Force,170,3.9
33940,Doberuman deka,359,6.8
33941,Injamun salsu,132,5.5
33942,Dragon Fury,169,3.9
33943,Wu da di zi,102,5.3
33944,Hissatsu onna kenshi,322,6.2
33945,Wu zhao shi ba fan,105,6.8
33946,Purva bridejs,143,7.3
33947,Femmine insaziabili,136,6.1
33948,The Godson,1274,3.6
33949,Gohiki no shinshi,251,7.5
33950,Pazzi per il golf,310,4.5
33951,Immagini di un convento,677,6.0
33952,Jittemai,172,6.4
33953,Kenka karate kyokushinken,360,6.8
33954,Fuga da Seattle,6069,6.7
33955,Li san jiao wei zhen di yu men,281,5.8
33956,Mekurano Oichi monogatari: Makkana nagaradori,129,6.9
33957,The March,130,6.4
33958,The Match,1267,6.4
33959,Mamma mi sono persa il fratellino!,1342,3.8
33960,Nautilus,187,4.3
33961,Novios,254,6.5
33962,October 22: una storia di ordinaria follia,314,6.3
33963,Una banda di scoppiati,109,6.3
33964,Point de chute,119,6.4
33965,Primal Scream,125,3.3
33966,River Made to Drown In,324,5.3
33967,The Runner,1110,5.9
33968,Saturn,206,6.1
33969,Shura,1719,8.1
33970,Hellmaster,408,3.8
33971,Ringmaster,4798,3.9
33972,The StormRiders - I cavalieri della tempesta,3619,6.7
33973,Rane,9909,8.2
33974,Y a-t-il un Français dans la salle?,187,6.0
33975,Les amazones du temple d'or,328,4.2
33976,Angst,8123,7.4
33977,Ankhiyon Ke Jharokhon Se,350,7.7
33978,Indagine pericolosa,135,5.7
33979,Asta-seara dansam in familie,699,8.5
33980,Bilyy ptakh z chornoyu oznakoyu,317,7.6
33981,Black Sea 213,137,4.0
33982,Black & White,5506,5.1
33983,Cjamango,227,5.9
33984,Detroit Rock City,34958,7.1
33985,Jue dou Lao Hu Zhuang,119,5.5
33986,Ba da men pai,138,6.3
33987,Ekho dalnego vzryva,117,6.4
33988,Il calore sotto la pelle,160,5.6
33989,Fight to Win,142,5.6
33990,La fille prodigue,146,6.4
33991,Ghost Dog - Il codice del samurai,83201,7.6
33992,Conflitto fatale,528,4.6
33993,Hanuman,290,6.4
33994,Ikinai,356,7.3
33995,Uno spostato sotto tiro,3429,5.4
33996,Interstate 60,29384,7.9
33997,Kill the Man,600,5.4
33998,L'inglese,29598,7.1
33999,Let's Talk About Sex,282,4.0
34000,Liberty Heights,6356,7.2
34001,Lucinda's Spell,236,6.9
34002,Infermiere maniache,1001,3.1
34003,The Mating Habits of the Earthbound Human,5971,6.7
34004,Natural Selection,403,6.1
34005,Okraina,666,7.9
34006,Riesutu duona,622,8.5
34007,Pacala,478,7.9
34008,De pijnbank,115,5.0
34009,La primera noche de mi vida,397,7.5
34010,Revenge,207,4.7
34011,Romeo deve morire,66018,6.3
34012,Shkolnyy vals,142,7.2
34013,Sinbad - La leggenda dei sette mari,48185,6.9
34014,The Tic Code,422,6.8
34015,La pista dei Tomahawks,210,5.7
34016,Treehouse Hostage,571,5.9
34017,Trilogy,124,7.3
34018,Can't Stop Dancing,111,5.8
34019,Lung joi gong woo,397,6.6
34020,When the Sky Falls,689,6.7
34021,The Weapons of Death,102,4.7
34022,Le avventure del ragazzo del palo elettrico,608,6.6
34023,Ambush in Leopard Street,110,4.8
34024,Amore e morte nel giardino degli dei,241,6.4
34025,"Babar, il re degli elefanti",467,6.3
34026,Bones,6583,4.6
34027,El Che,137,6.7
34028,Come cani arrabbiati,145,6.4
34029,Commander,112,6.0
34030,Daddy and Them,2155,6.0
34031,The Darkest Light,149,6.0
34032,La ragazza in blu,154,7.2
34033,East Is East,16835,7.0
34034,Finding Kelly,195,3.8
34035,Striptease: Attrazione mortale,317,4.9
34036,Gregorio,110,7.2
34037,Hoods - Affari di famiglia,283,5.4
34038,"Io tigro, tu tigri, egli tigra",253,5.9
34039,Kad mrtvi zapjevaju,947,7.6
34040,The Legend of Cryin' Ryan,114,7.1
34041,Lettera d'amore,4050,5.6
34042,Monkeybone,16489,5.0
34043,No se lo digas a nadie,1449,7.2
34044,Il piacere e i suoi piccoli inconvenienti,261,5.1
34045,Poruno sutâ,870,6.6
34046,Mac e il tesoro dell'isola corallina,426,6.2
34047,"Saint Tropez, Saint Tropez",163,4.2
34048,Social Intercourse,126,4.8
34049,"Solan, Ludvig og Gurin med reverompa",652,6.1
34050,Principessa per una notte,390,7.7
34051,Subconscious Cruelty,1603,5.2
34052,Il terzo occhio,265,6.3
34053,Tri muskarca Melite Zganjer,291,6.9
34054,Svegliati Ned,24727,7.5
34055,Amore tossico,1004,7.3
34056,Anna and the King,35293,6.9
34057,Arak el-balah,319,8.0
34058,L'arbre de les cireres,115,6.6
34059,Balamut,112,7.2
34060,Beshkempir,528,7.5
34061,Budte moim muzhem,445,6.9
34062,Il conte Tacchia,268,6.5
34063,Così è la vita,4207,7.1
34064,Dandy Dust,103,6.2
34065,Mr. Rice's Secret,583,6.2
34066,F. est un salaud,2317,7.8
34067,Fuga de cerebros,155,6.1
34068,Hans Staden,283,6.8
34069,Hälsoresan - En smal film av stor vikt,3146,4.3
34070,Il ragazzo dal kimono d'oro,418,4.7
34071,Lady of the Lake,153,4.7
34072,Emozioni pericolose,239,5.9
34073,Midnight,689,7.1
34074,Memórias Póstumas de Brás Cubas,714,7.0
34075,Mravnost nade vse,137,7.3
34076,Privarzaniyat balon,110,7.8
34077,Satyricon,160,6.3
34078,Scacco alla regina,120,6.4
34079,In fuga per cambiare,186,6.1
34080,Siete mil días juntos,115,6.9
34081,Skazka o poteryannom vremeni,465,7.3
34082,Sombre,1475,6.4
34083,Viaggio verso la verità,142,4.6
34084,Spirit - Cavallo selvaggio,63449,7.4
34085,A Star for Two,225,7.5
34086,Syshchik,107,7.1
34087,There's Always Vanilla,553,5.4
34088,Traição,215,7.0
34089,Zhao xiansheng,134,7.0
34090,Otklonenie,104,7.6
34091,Una storia vera,80007,7.9
34092,Mulholland Drive,312966,7.9
34093,La musica del cuore,11747,6.9
34094,The Adventures of the American Rabbit,401,6.2
34095,American Rampage,115,4.5
34096,And the Same to You,147,5.5
34097,Tenshi no harawata: Akai inga,208,5.9
34098,Angel in Training,155,5.0
34099,Anti-Clock,159,6.5
34100,The Book of Life,1801,6.9
34101,The Clandestine Marriage,333,6.0
34102,"Co je doma, to se pocítá, pánové...",169,6.2
34103,Death Mask,171,5.0
34104,The Debtors,157,5.6
34105,Den gneva,373,7.2
34106,Desert Saints,3066,6.3
34107,Dom wariatów,365,6.8
34108,Der Eisbär,2839,6.7
34109,Den eneste ene,4197,7.1
34110,Eva tropí hlouposti,297,7.9
34111,Evasive Action,407,4.6
34112,Evil Dead Trap,2154,6.2
34113,Restraining Order,255,4.9
34114,Das Frauenhaus,419,5.1
34115,The Girls' Room,188,6.0
34116,Hellboy,302680,6.9
34117,Hijack,305,4.4
34118,Holky z porcelánu,121,6.0
34119,Sognando l'Africa,4314,5.7
34120,Il segno del peccato,155,5.2
34121,Incontri proibiti,112,4.9
34122,Interceptors,771,4.2
34123,Kascey l'immortale,353,7.3
34124,Kristian,372,8.0
34125,Kure melancholik,148,6.5
34126,Last to Surrender,159,5.5
34127,Il Signore degli Anelli - Il ritorno del re,1604280,8.8
34128,Il Signore degli Anelli - Le due torri,1449778,8.6
34129,"La mazurka del barone, della santa e del fico fiorone",202,6.7
34130,Milo,927,4.4
34131,Novye pokhozhdeniya Kota v Sapogakh,124,7.1
34132,Novye priklyucheniya kapitana Vrungelya,173,7.4
34133,Il ritorno di Diavolik,185,6.3
34134,Ostrov sokrovishch,184,7.0
34135,Pelísky,4672,8.4
34136,La piccola infermiera,156,6.0
34137,Tommy e la lince,978,5.6
34138,Posledniy dyuym,217,7.6
34139,Progeny - Il figlio degli alieni,1427,5.0
34140,The Protagonists,345,5.8
34141,Avventura nello spazio,858,5.8
34142,Caccia al serial killer,490,4.9
34143,Una donna in fuga,147,3.9
34144,Russkiy bunt,317,6.6
34145,Sogni infranti,205,7.4
34146,Sevmek Zamani,4197,8.1
34147,The Sixth Sense - Il sesto senso,894385,8.1
34148,Diamonds,1479,5.6
34149,Superstar osa sognare,17750,5.5
34150,"Sweet Jesus, Preacherman",167,5.3
34151,Talisman,324,3.8
34152,Three Businessmen,468,7.1
34153,Thunderbirds,12967,4.7
34154,Tire-au-flanc 62,148,5.6
34155,Vai avanti tu che mi vien da ridere,207,6.0
34156,Vasilisa prekrasnaya,400,7.5
34157,Vieni avanti cretino,1123,7.5
34158,La leggenda di Aladino,511,7.1
34159,Zero Woman 2,168,5.2
34160,"Zítra to roztocíme, drahousku...",278,7.2
34161,Il mistero del quarto piano,4573,5.8
34162,Astero,138,6.1
34163,Beautiful Sunday,139,5.5
34164,Bint El-Hares,101,7.7
34165,Chicken Park,1160,2.8
34166,Cipollino,153,7.0
34167,Les collègues,199,5.3
34168,The Contract,244,4.5
34169,Crash! Che botte... strippo strappo stroppio,115,5.4
34170,La croce dalle 7 pietre,218,2.9
34171,Culo e camicia,233,6.0
34172,The Definite Maybe,133,4.0
34173,Il demonio,439,7.2
34174,Dikaya sobaka Dingo,131,7.3
34175,La casa dove abito,344,7.7
34176,"Dzhek Vosmyorkin, amerikanets",138,6.8
34177,"Fin août, début septembre",1403,7.0
34178,I ragazzi del Marais,2738,7.5
34179,Folle... folle... fólleme Tim!,108,5.4
34180,Mat to sing suk si 1997,235,6.3
34181,Gallo cedrone,999,5.6
34182,Homolka a tobolka,291,7.1
34183,Omicidi sul set,356,5.7
34184,L'ultimo sceriffo,323,5.4
34185,Lyogkaya zhizn,166,7.5
34186,The Longest Nite,1782,7.6
34187,Bajo California: El límite del tiempo,409,8.1
34188,Memorial Day,179,3.8
34189,"Moy luchshiy drug, general Vasiliy, syn Iosifa",186,8.1
34190,Muertos de risa,3101,6.7
34191,My s vami gde-to vstrechalis,133,7.0
34192,Ne mogu skazat 'proshchay',136,6.9
34193,Otvetnyy khod,166,7.0
34194,Otets Sergiy,104,7.2
34195,Partie krásného dragouna,117,7.2
34196,Pitkä kuuma kesä,2279,7.2
34197,7 calze di seta insanguinate,162,5.9
34198,Safar barlek,157,8.0
34199,Super agente speciale,6556,3.0
34200,"Slunce, seno, erotika",820,5.5
34201,Spijun na stiklama,178,5.8
34202,Le porno hostess in super 3-D,247,4.4
34203,Sunburn,379,6.9
34204,Super rapina a Milano,124,6.6
34205,Surferne kommer,113,4.7
34206,Vasiliki,107,6.4
34207,San goo waak chai ji siu nin gik dau pin,338,6.7
34208,Yuppi du,358,6.7
34209,Zolushka,1102,7.8
34210,Zonzon,330,5.7
34211,Aberdeen,3044,7.3
34212,The Adventures of Sebastian Cole,1821,7.1
34213,"Anton Spelec, ostrostrelec",225,7.4
34214,Babes in Toyland,476,5.3
34215,Banoo-Ye Ordibehesht,199,6.5
34216,Der Barbier von Sevilla,111,7.8
34217,To xypolyto tagma,174,7.7
34218,Battle of Blood Island,207,4.9
34219,Mei shao nian zhi lian,848,7.1
34220,Bei zhu baba shangxue qu,105,7.1
34221,The Best Man,9071,7.0
34222,Un gran giorno per morire,1490,6.0
34223,Biwi Ho To Aisi,763,6.3
34224,Bombay Boys,532,7.0
34225,Can't Be Heaven,396,6.7
34226,Cesta do hlubin studákovy duse,507,8.0
34227,"Chicks, Man",103,5.5
34228,La Ciudad (The City),350,7.4
34229,La nube,238,7.1
34230,Correccional de mujeres,100,3.8
34231,The Playaz Court,149,6.1
34232,Alles kaputt!,251,7.3
34233,Dancer in the Dark,100095,8.0
34234,Innocents,532,5.1
34235,Daïnah la métisse,179,7.0
34236,Una donna chiamata Apache,262,5.5
34237,Un embrujo,215,7.1
34238,La noia,1920,6.3
34239,El faro,677,7.2
34240,Ferdinando e Carolina,312,6.2
34241,Crociera di sangue,682,4.1
34242,Antwone Fisher,32331,7.5
34243,Fiona,554,6.1
34244,I cinque sensi,2958,6.9
34245,Four Days,291,6.0
34246,Georgica,238,7.4
34247,Harlem Aria,199,6.7
34248,Helden in Tirol,156,6.9
34249,Aiuto! Sono un pesce,5782,6.2
34250,J'aimerais pas crever un dimanche,475,5.6
34251,Jack & Jill,121,3.4
34252,Just One Time,686,6.5
34253,Kichiku dai enkai,589,5.6
34254,The Killings at Outpost Zeta,275,4.4
34255,Konsul,349,7.1
34256,Kotpanum chonio,187,6.2
34257,The Last Best Sunday,217,6.6
34258,Lass jucken Kumpel,167,4.1
34259,Lelícek ve sluzbách Sherlocka Holmesa,156,7.2
34260,100 años de perdón,139,7.4
34261,Love & Pop,1066,7.4
34262,Ai qing lai le,125,7.7
34263,Meglio del cioccolato,7771,6.5
34264,Mensaka,362,6.8
34265,Nachalnik Chukotki,283,7.5
34266,To neznáte Hadimrsku,168,7.3
34267,Night Train,354,6.8
34268,Ningen no yakusoku,127,7.4
34269,Lagaan - C'era una volta in India,102618,8.2
34270,Ospiti,174,5.6
34271,Kama Sutra - Il giardino profumato,395,4.2
34272,Pièces d'identités,149,6.3
34273,La polveriera,4574,7.9
34274,The Quarry - La cava,161,6.4
34275,Abusi di legge,230,5.5
34276,Radiofreccia,1915,7.2
34277,Revizor,105,6.9
34278,Road to Revenge,279,4.6
34279,Rollercoaster,377,6.8
34280,The Secret Life of Algernon,111,6.7
34281,Diritto al bersaglio,648,5.3
34282,Svet patrí nám,111,7.3
34283,Terror Firmer,4837,6.5
34284,Theeviravaathi: The Terrorist,1895,7.2
34285,Tick Tock,597,6.2
34286,Trans,402,6.3
34287,All'improvviso un angelo,898,6.9
34288,L'ultimo cinema del mondo,566,7.1
34289,Welcome to Hollywood,715,5.7
34290,Windhorse,158,7.3
34291,You Can Thank Me Later,213,6.1
34292,"Zhenshchina, kotoraya poyot",118,5.9
