,title,total_votes,mean_vote
571,Il Giglio nelle tenebre,660,7.5
572,Il fantasma del castello,1161,7.1
573,Le sue ultime mutandine,431,6.5
574,Anna Karenina,885,7.4
575,The Love of Sunya,764,7.9
576,"Man, Woman and Sin",356,7.8
577,Mockery,390,7.0
578,Mr. Wu,525,6.7
579,My Best Girl,787,7.6
580,Napoleone,6864,7.4
581,Ottobre!,6877,7.4
582,Il re del sottosuolo,316,6.5
583,Il mio cuore aveva ragione,119,7.0
584,Passione di principe,110,6.7
585,Ferro e fuoco,468,7.6
586,Potseluy Meri Pikford,103,6.4
587,Quality Street,733,8.0
588,The Red Mill,1342,8.0
589,Vinci per me!,3088,6.2
590,Running Wild,188,7.1
591,The Scar of Shame,327,6.2
592,Settimo cielo,3098,7.6
593,A Ship Comes In,141,5.7
594,Shooting Stars,352,7.2
595,The Show,498,7.0
596,"Slide, Kelly, Slide",481,7.8
597,Spring Fever,884,7.7
598,Il principe studente,1335,7.8
599,Sumka dipkuryera,103,6.5
600,Aurora,46069,7.9
601,Tarzan and the Golden Lion,126,5.4
602,Tell It to the Marines,1422,7.9
603,Three's a Crowd,105,6.7
604,Tillie the Toiler,465,8.0
605,Tretya meshchanskaya,1034,7.4
606,Twelve Miles Out,551,7.7
607,Notte d'Arabia,888,6.8
608,Un cappello di paglia di Firenze,761,6.9
609,Uncle Tom's Cabin,379,6.9
610,Le notti di Chicago,2545,7.5
611,Lo sconosciuto,6992,7.6
612,Controcorrente,248,6.3
613,When a Man Loves,308,7.2
614,Ali,11139,7.7
615,Winners of the Wilderness,105,3.2
616,Enigma,200,6.8
617,Xi xiang ji,106,6.4
618,Crisi,291,7.1
619,Amore e mare,948,7.3
620,La battaglia dei sessi,395,6.7
621,I mendicanti della vita,945,7.7
622,Bringing Up Father,134,7.2
623,Il vaso di Pandora,9541,7.8
624,Il cameraman,10101,8.1
625,Il fidanzato di cartone,810,8.1
626,Tabarin di lusso,1968,5.7
627,La caduta della casa Usher,3369,7.3
628,Il circo,27414,7.9
629,I cosacchi,614,7.8
630,I due timidi,149,7.0
631,La donna divina,336,7.2
632,I dannati dell'oceano,3860,7.6
633,La casa sulla Trubnaja,561,7.4
634,Eliso,121,6.8
635,La moglie del fattore,2434,6.1
636,Oasi dell'amore,151,6.0
637,Tastatemi il polso,152,7.0
638,I quattro diavoli,134,7.1
639,The Four Feathers,261,7.1
640,L'ultima gioia,623,7.1
641,Quattro mura,307,7.0
642,Eden palace,341,7.0
643,Sesso Incatenato,234,6.8
644,Capitan Barbablù,630,6.7
645,La casa del boia,394,6.6
646,Heimkehr,154,7.1
647,High Treason,116,6.2
648,Jûjiro,305,7.1
649,L'avventuriera,402,7.1
650,Crepuscolo di gloria,3282,7.8
651,Ridi pagliaccio,1684,7.6
652,Lights of New York,735,7.1
653,Le sette aquile,636,7.9
654,Primo amore,1982,7.9
655,Maldone,174,7.0
656,L'uomo che ride,5711,7.7
657,Il teatro di Minnie,510,6.9
658,The Mating Call,343,6.9
659,La canzone della mamma,116,5.6
660,Moulin Rouge,176,6.7
661,La donna misteriosa,1151,7.3
662,Le nostre sorelle di danza,1501,7.3
663,La passione di Giovanna d'Arco,45823,7.8
664,Fascino biondo,2330,8.1
665,Tempeste sull'Asia,1803,7.2
666,Il potere della stampa,228,6.5
667,The Racket,1099,6.9
668,La danzatrice rossa,102,6.9
669,Riley the Cop,168,6.0
670,Rose-Marie,123,3.3
671,Tristana e la maschera,2519,7.9
672,Shiraz,229,7.0
673,Maschere di celluloide,3458,8.1
674,Il cantante pazzo,206,6.5
675,The Smart Set,976,7.9
676,A rotta di collo,3178,7.7
677,L'inafferrabile,3062,7.6
678,Io... e il ciclone,12809,7.9
679,L'angelo della strada,2090,7.5
680,Femmine del mare,239,7.3
681,Nella tempesta,347,7.0
682,Quella certa cosa,227,7.2
683,Tire au flanc,213,6.5
684,The Trail of '98,353,7.0
685,Underground,413,7.4
686,I vichinghi,346,6.7
687,Nel gorgo del peccato,131,6.7
688,Il fiume stanco,376,6.7
689,Sinfonia nuziale,1508,7.4
690,La serpe di Zanzibar,1582,7.3
691,Mentre la città dorme,151,7.3
692,Ombre bianche,756,7.0
693,Il vento,5980,8.1
694,Il destino,1355,7.6
695,Il cadavere vivente,116,7.1
696,Zvenigora,819,7.2
697,La aldea maldita,188,7.1
698,Alibi,661,6.0
699,Applause,1266,7.3
700,L'argent,854,7.6
701,Arsenale,1805,7.3
702,Asfalto,1328,7.2
703,Atlantic,187,5.7
704,Behind That Curtain,386,5.0
705,Big News,203,5.7
706,La guardia nera,258,6.0
707,Ricatto,9412,7.0
708,Broadway,339,6.9
709,Ragazze d'America,119,6.8
710,La canzone di Broadway,6327,6.3
711,Cercasi avventura,839,6.6
712,La Canarina Assassinata,539,6.3
713,Le capitaine Fracasse,169,6.8
714,The Cocoanuts,6900,7.2
715,L'isola del diavolo,332,6.4
716,Coquette,1983,7.1
717,Daigaku wa detakeredo,390,6.5
718,La danza della vita,261,7.6
719,Funamboli,110,6.2
720,Notti nel deserto,1074,8.1
721,Il tenente di Napoleone,104,6.7
722,Disraeli,1034,6.4
723,Trafalgar,651,6.3
724,The Duke Steps Out,116,2.9
725,Dinamite,382,7.2
726,Erotikon,481,7.3
